scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S1,GA,energy_priority,39,39,6,0.0,0.7,0.3,1000039.790632905,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000030346029229e-05,43.58290461690212,99997,0,6,0.0,0.4769558906555176
S1,GA,energy_priority,40,40,6,0.0,0.7,0.3,1000281.7074855831,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000065053543123e-05,31.591836777381367,99995,2,4,0.3333333333333333,0.4698758125305176
S1,GA,energy_priority,41,41,6,0.0,0.7,0.3,1000023.4569816126,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000057866926958e-05,46.04909728111025,99995,4,2,0.6666666666666666,0.43979310989379883
S1,GA,energy_priority,42,42,6,0.0,0.7,0.3,2000206.4948806323,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.000013866832215e-05,34.87290855816025,99997,3,3,0.5,0.4396989345550537
S1,GA,energy_priority,43,43,6,0.0,0.7,0.3,1000159.1716526407,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000048748042202e-05,38.04765166366346,99995,3,3,0.5,0.43836307525634766
S1,GA,energy_priority,44,44,6,0.0,0.7,0.3,1000050.0331980288,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000046060763431e-05,34.736276402732486,99995,4,2,0.6666666666666666,0.4396829605102539
S1,GA,energy_priority,45,45,6,0.0,0.7,0.3,2000325.814922554,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000064266575763e-05,32.02384306708903,99995,4,2,0.6666666666666666,0.44295597076416016
S1,GA,energy_priority,46,46,6,0.0,0.7,0.3,1000113.788095271,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000009008613729e-05,27.10098098520831,99998,3,3,0.5,0.43985629081726074
S1,GA,energy_priority,47,47,6,0.0,0.7,0.3,2000183.5789752733,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000055821822894e-05,36.49670856857445,99996,2,4,0.3333333333333333,0.4381692409515381
S1,GA,energy_priority,48,48,6,0.0,0.7,0.3,1000022.705791329,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000049573053739e-05,48.615489408344175,99996,0,6,0.0,0.4426589012145996
S1,GA,energy_priority,49,49,6,0.0,0.7,0.3,1000284.3057409097,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.000065936855367e-05,50.34614632874734,99995,4,2,0.6666666666666666,0.42901110649108887
S1,GA,energy_priority,50,50,6,0.0,0.7,0.3,1000116.9842649162,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000053062166472e-05,34.37495741641035,99995,2,4,0.3333333333333333,0.4284398555755615
